#{"t_start": 1743730806.594874, "env_id": "None"}
r,l,t
2.85,8,10.822712
-3.21,40,12.594713
2.84,6,12.857481
-2.77,181,20.105479
-3.21,7,20.399839
2.83,12,20.92391
2.94,7,21.2373
2.84,6,21.560738
-3.24,10,21.977414
2.78,13,22.516719
2.84,6,22.787642
-2.94,50,24.922676
2.85,8,25.283008
-3.1,38,26.817574
2.75,7,27.140568
2.9,7,27.44455
3.15,106,31.848366
-3.06,64,34.559721
2.85,8,34.870424
2.85,8,35.215894
-2.61,105,39.312965
2.85,8,39.61514
-3.13,4,39.751531
3.02,4,39.904963
-2.85,46,41.65306
2.84,6,41.91486
2.93,5,42.103143
-3.13,4,42.24553
-3.12,6,42.464361
2.58,11,42.924206
-2.99,2,42.979986
2.84,6,43.219659
-3.13,4,43.353234
-3.21,7,43.652036
-2.98,4,43.794166
2.76,9,44.14005
2.85,8,44.428853
2.84,6,44.668133
2.95,47,46.453011
2.67,10,46.845366
2.77,11,47.277109
-3.3,8,47.588356
3.07,61,50.053663
2.93,5,50.254247
2.84,6,50.508986
-3.13,4,50.66662
-2.76,85,54.008793
2.76,9,54.383782
-3.02,7,54.681137
-3.21,7,55.007113
-3.02,43,56.894997
-3.13,4,57.062352
2.75,7,57.370535
-2.9,97,61.602818
2.75,7,61.967605
-2.36,201,70.389305
2.85,8,70.737773
2.76,9,71.125207
-3.29,10,71.556457
2.84,6,71.830909
-3.13,4,71.980565
-2.9,87,75.592912
2.75,7,75.874589
-2.55,186,83.825044
-3.13,4,83.975844
2.87,12,84.517092
-2.11,235,94.644943
2.84,6,94.941984
2.77,11,95.430117
2.84,6,95.688525
